burnham park|-74.4966539 40.798698
tonys pizza|-74.292009 41.0037363
vfw post|-74.2932265 41.004458
nicky gs pizzeria and restaurant|-74.291219 41.005435
ice cream station  deli|-74.2908435 41.00545
wells fargo|-74.2911505 41.0060699
the cardinal cafe|-74.2917939 41.005703
farm view pork store|-74.2917403 41.0057613
mtric motorsports|-74.290745 41.0072228
lot j|-74.0812824 40.8122641
iron forge apartments|-74.2901078 41.006632
the home depot|-74.3271136 40.9908065
staples|-74.3282491 40.9889027
bjs wholesale club|-74.3301804 40.989855
extra space storage|-74.3283126 40.9903535
bed bath  beyond|-74.3330631 40.9905309
overpeck park playground|-74.0072399 40.86171
amc ridgefield park|-74.012552 40.8491475
samsung electronics america|-74.010706 40.8527523
javelin pitch|-74.0063434 40.8525739
st athanasios church|-74.0911121 40.9289826
graydon pool|-74.1111623 40.9843694
voto tedesco field|-74.0921959 40.8685185
riverdale car wash|-74.3025945 40.9844713
curlys ice cream|-74.3026596 40.9841899
liquor|-74.3024504 40.9838312
route  kia|-74.3037733 40.9843932
circle farms garden center|-74.302333 40.9834572
circle  farms|-74.3019671 40.9829925
wayne electrical supply|-74.303092 40.9825944
chilton health network|-74.304079 40.981264
weitchert realtors|-74.3019522 40.981432
portrait artistry by linda marie|-74.3010788 40.9808981
kearny bank|-74.3002837 40.9801964
lakeland bank|-74.2990397 40.9787878
scanlan funeral home|-74.2984061 40.9780987
all service|-74.2914858 40.9763843
crestmont volkswagen|-74.2894929 40.9755595
crestmont toyota|-74.2891056 40.9753425
pompton queen diner|-74.2885475 40.9746606
the happy hound k social club|-74.2898655 40.9743347
route  honda|-74.2872411 40.9739784
pep boys|-74.2883319 40.9729252
water works supply company|-74.2870887 40.9729403
fuelco|-74.2864698 40.9721845
carepoint health|-74.2879276 40.9722037
wayne subaru|-74.2859846 40.9712501
route  honda used cars|-74.2860292 40.9706872
pequannock insurance|-74.2857966 40.9703641
goodwill|-74.2872361 40.9692974
td bank|-74.2838809 40.9694506
eleven|-74.2851146 40.9685274
wells fargo|-74.2860368 40.9672558
jitans market|-74.2855304 40.9661359
pompton sport center|-74.2843903 40.966188
luxcraft cabinets|-74.2850337 40.9648654
stix cigar shop and lounge|-74.2841966 40.9654739
plaza  diner|-74.2848011 40.9642021
driving range|-74.2831972 40.9645647
spa  fitness and lifestyle|-74.2846924 40.9634234
leslies pool supplies|-74.2831594 40.9627236
caribbean blue pools  spas|-74.2841868 40.9623309
freedom fence|-74.282543 40.9619236
grab  go|-74.2836407 40.9610888
to go|-74.2812301 40.9572201
rentals unlimited|-74.2820328 40.9567064
professional center|-74.280593 40.9555028
kfc|-74.2802864 40.9550322
baymont by wyndham pompton plains wayne|-74.279266 40.9551316
myfencego|-74.2802402 40.9528676
frescos bagels|-74.2800616 40.9526706
anello fence|-74.2790766 40.952882
atrium post acute care of wayneview|-74.2759633 40.9509834
advance auto parts|-74.2768279 40.949356
wayne hyundai|-74.2762902 40.9489639
bottle king|-74.2749983 40.9493668
lakeland bank|-74.2740812 40.9492667
lincoln of wayne|-74.2744759 40.9482763
days inn wayne|-74.2731433 40.9477012
valley bank|-74.2734025 40.9482859
north jersey gastroenterology and endoscopy center|-74.2747795 40.9460527
reloaderz nj|-74.2736338 40.9454065
kohls|-74.2713079 40.9454682
valley bank residential mortgage|-74.270722 40.9430588
public storage|-74.271741 40.9405471
brentwood plaza shopping center|-74.2713432 40.9392074
valley medical group|-74.2688207 40.9382848
wayne crest shopping center|-74.2703192 40.9378471
gulf royal car wash|-74.2702697 40.9371844
wendys|-74.2687278 40.937531
goodyear|-74.2678428 40.9374404
enterprise car sales|-74.2669683 40.9371948
enterprise|-74.2686937 40.9367189
elco administrative services|-74.2677159 40.9363387
paul miller bmw|-74.2705588 40.9356006
parking lot|-74.0799344 41.2336878
parking lot|-74.0825207 41.2322355
slaters carpets|-74.3025484 40.9859742
riverdale one|-74.3037496 40.9860638
riverdale south|-74.304625 40.9854086
harbor freight tools|-74.2704712 40.934785
glen ridge shopping center|-74.2703597 40.9342474
valley bank|-74.2701357 40.9332604
circle k|-74.2698528 40.9328025
bolla|-74.2682503 40.9330379
alps diner|-74.2682738 40.9320311
open road acura of wayne|-74.2699122 40.9316653
taco bell|-74.2682187 40.9313731
cosmopolitan|-74.2696035 40.9306013
rehabilitation medicine center|-74.2680825 40.9299615
lighting expo   chandeliers ceiling fans outdoor lights|-74.2693514 40.927968
derbyshires solid wood furniture|-74.2690461 40.927188
cc rental|-74.2690346 40.926749
burger king|-74.2689753 40.9261537
wayne mazda|-74.2672235 40.9263831
eleven|-74.2690025 40.9254938
shell|-74.2688684 40.9257426
silverstar motors corp|-74.267972 40.9259366
delta|-74.2681269 40.9259175
wicked images tattoo|-74.2679921 40.9255293
mothers park and ride|-74.2667748 40.9224563
seven tribesmen brewery|-74.2690915 40.9229228
dominos|-74.2688473 40.9217358
budget|-74.2686277 40.9212696
van varick  sons|-74.2681159 40.9201972
stahl plaza shopping center|-74.2675321 40.9150417
grasshopper too|-74.2674898 40.9145803
nailvac|-74.2659581 40.9144429
lemco corporation|-74.2667537 40.9138019
mountain view wayne station|-74.2677689 40.9139439
mountainview deli  hotdog|-74.266126 40.9150844
mothers ale house|-74.264912 40.9146577
louis b chapman law offices|-74.2646875 40.9138785
advance medical supply|-74.2645524 40.9136728
sals visible changes|-74.2641607 40.9143177
chocolate treasures|-74.2643928 40.914566
super mart|-74.264412 40.914847
mountain view auto|-74.2634076 40.9144159
american legion hall|-74.2641567 40.9132758
sherwin williams|-74.2637355 40.912837
mix em up bartending school wayne nj|-74.2634603 40.9133594
jesus the healer filipino church|-74.2631045 40.9128559
wells fargo|-74.2626107 40.9122948
veterans alliance park|-74.2638964 40.912574
mountainview car wash|-74.2622255 40.9118483
lakeland baby  juvenile furniture|-74.2618613 40.9114499
lenyks automotive|-74.2661207 40.9141099
us gas|-74.2659639 40.9137686
greg  sons auto services inc|-74.2622615 40.9106784
bethany residence|-74.2613017 40.9103816
holy cross roman catholic church|-74.2611208 40.9105477
wayne inn|-74.2581488 40.9037283
izumi hibachi steak house|-74.2575964 40.9034261
bloomingdales furniture outlet|-74.2456141 40.8955109
ethan allen|-74.2446799 40.8956098
p c richard  son|-74.2420607 40.8956886
driving range|-74.2470909 40.8932076
ramada by wyndham wayne fairfield area|-74.2458029 40.8929945
ahpizz   wayne|-74.2454913 40.8934749
wayne ford|-74.2443558 40.8936747
robbies music city|-74.2426574 40.8939744
red lobster|-74.2419457 40.8938509
wendys|-74.2413348 40.894203
sunoco|-74.2399651 40.8944447
dunkin|-74.2390862 40.8944668
sleep number|-74.2386948 40.8944452
davids bridal|-74.2381624 40.8943959
route  nissan|-74.2341964 40.894016
route  mitsubishi|-74.232853 40.8938276
lounge|-74.230798 40.8935291
bon appetit bagels|-74.2304178 40.8934503
sonic|-74.2298362 40.8934016
pompton lakes masonic hall|-74.29685 40.9991387
farms view roadstand|-74.2731443 40.9720655
capital one|-74.3927059 40.8631059
wells fargo|-74.3853045 40.861889
empire diner|-74.393744 40.8632424
camp winnebago|-74.4541323 40.9992472
bmw of ramsey|-74.1319344 41.0652875
queen anne style home|-74.2874892 41.0039612
friary|-74.2888688 41.0029028
ridgewood racquet club|-74.1253673 40.9729615
ridgewood fire headquarters|-74.1111217 40.9898855
pompton lakes board of education|-74.2830936 41.0041476
rotary park|-74.2818494 41.0053605
aa pompton auto|-74.2803702 40.9930401
bauer building|-74.2816456 40.9932262
citros auto body|-74.2809361 40.9934231
pompton lakes public works|-74.2823931 40.9930679
northeast janitorial supply|-74.2952183 41.0059533
passaic county road department pompton lakes yard|-74.295316 41.0056386
gilbys screen printing and embroidery|-74.2956994 41.0050597
thatcher mcghees|-74.2950632 41.0076395
ray  ritas hairstyling|-74.2942807 41.0073178
asian|-74.2944262 41.0074314
stack contracting|-74.2939547 41.0068764
family laundry|-74.2961174 41.0076036
katie cole park|-74.2808962 40.9854015
t bowl lanes|-74.2448114 40.9644652
stop  shop|-74.2451022 40.9638624
bath  body works|-74.2441958 40.9634604
massage envy|-74.2439551 40.9625104
north jersey  wght|-74.2835739 40.9813134
south pumping station|-74.2829929 40.9831247
hackensack university medical center|-74.0556148 40.8838423
holy name medical center|-74.0099279 40.8829656
exxon|-74.0950739 40.9891342
st josephs regional medical center|-74.16534 40.9035729
feeney funeral home|-74.113611 40.9799026
ridgewood public schools|-74.1142852 40.9799987
wells fargo|-74.1163698 40.9801142
atlantic stewardship bank|-74.1149003 40.9801907
apricot lane boutique|-74.1175394 40.9796323
the ridgewood art institute|-74.1152079 40.9894917
baumgarts cafe|-74.1156877 40.9803688
woods road pumping station|-74.2901258 40.9804226
riverdale volunteer fire department|-74.2996394 40.994674
riverdale train station|-74.3002542 40.9983739
savvy chic consignment boutique|-74.1151397 40.9796247
best nails|-74.1137617 40.9781942
tapestry|-74.1138121 40.9780899
renatos pizza|-74.113857 40.9779325
sweet  sassy|-74.1148061 40.9785296
forman building|-74.1198917 40.9806734
lincoln building|-74.1197641 40.9807487
pnc bank|-74.1174687 40.9804218
day reset|-74.1139247 40.9778027
foxs|-74.1142744 40.9785657
ridgewood veterinary hospital|-74.1128872 40.9782405
pnc bank|-74.1133222 40.9790044
the stable|-74.1120028 40.9856738
mount everest|-74.116874 40.9788762
town garage|-74.1170314 40.9804716
starbucks drive thru|-74.1169457 40.9810378
valley national bank|-74.1171932 40.9811995
phantom motorsport|-74.1181046 40.9815046
innovative risk concepts inc|-74.1151585 40.975013
fidelity lodge|-74.1141204 40.9764633
little falls trophy|-74.206369 40.8794444
att|-74.2067914 40.8798741
burger king|-74.2073931 40.8802432
liberty travel|-74.2061541 40.8804043
enterprise|-74.2068313 40.8809754
davis surgical supply|-74.1221174 40.9801029
family of caring at van dyk|-74.1071744 40.9695477
tri county lexus|-74.2074548 40.8814962
tri county lexus pre owned|-74.2078449 40.8818115
tri county lexus service center|-74.2081225 40.8819926
taco bell|-74.2089953 40.8812362
chilis|-74.2095634 40.8814948
park west diner|-74.2120763 40.8843918
dunkin|-74.2131339 40.8849519
wendys|-74.1366565 40.9836249
world mission society church of god|-74.1305335 40.9811672
friends and family park|-74.2703928 40.9697319
sgt thomas deppa memorial park|-74.2757469 40.9776064
pompton aquatic park|-74.2783803 40.9708247
passaic valley water commission|-74.2817646 40.9695915
pequannock valley park|-74.2898114 40.9605175
wayne police athletic league pal|-74.2576827 40.9114223
barbour pond park|-74.23216 40.9636167
west side bagels|-74.1217807 40.9799667
corsa building|-74.1218884 40.980425
wine sellers|-74.1220163 40.9800318
chase|-74.1237887 40.9789682
enterprise bodyshop|-74.2805305 40.991061
cvs pharmacy|-74.2791414 40.9906899
novelli|-74.2790471 40.9899054
wayne animal hosptial|-74.2799854 40.9897576
thomas plaza|-74.2799121 40.9895656
mccobbs family restaurant|-74.2796286 40.9891487
dunkin|-74.2796742 40.988854
pompton lakes north pumping station|-74.2978143 41.0084354
cahill park|-74.287948 40.9987418
pinoy auto repair|-74.2869252 40.9984665
rhino studio|-74.2876761 40.9989874
boys  girls club of wayne|-74.2128056 40.9383514
soccer field|-74.2103501 40.9419947
john chick choka field|-74.2140518 40.9378346
welcome center|-74.1796409 40.9145383
sum building|-74.180019 40.914943
second empire building|-74.2880779 40.9993281
st pauls evangelical lutheran church|-74.2888973 40.9990008
dottinger design inc|-74.2878585 40.9996118
christ episcopal church|-74.2873541 40.9996068
shepherds haven|-74.2871847 40.9992512
valbruna stainless inc|-74.2828394 41.0124279
pompton lakes chemours|-74.2849643 41.0141834
central park auto body and collision|-74.2963217 41.0059568
twin lakes garage|-74.2958757 41.0085175
tilcon pompton lakes office|-74.3004762 41.005813
pol landscaping|-74.2897375 41.0077188
air expo heating  air conditioning|-74.2894333 41.0077271
haas construction management llc|-74.2896525 41.008138
gs industries|-74.2891632 41.008258
pca engineering inc|-74.2902387 41.0093699
suez water|-74.2874938 41.0079893
tnt pompton|-74.287324 41.0086949
cannonball gym strength  conditioning|-74.2867869 41.0089779
g p systems inc|-74.2866019 41.0092919
meadowlands racing  entertainment center|-74.0716872 40.8202088
meadowbrook school|-74.0223723 41.0095071
ramapo mountain state forest|-74.2520503 41.0325704
sum hydroelectric plant|-74.1809773 40.9153056
kips castle park|-74.2246033 40.8289259
honeywell inc|-74.4771834 40.8358994
watnong vfw post|-74.4776735 40.8329945
johnson  johnson j and k buildings|-74.475133 40.8399804
mesivta of clifton|-74.1355029 40.834182
dunney park|-74.1357577 40.8350426
agudas yisroel|-74.1355562 40.8419776
pierrepont elementary school|-74.1110876 40.8212301
pierrepont elementary school|-74.1112225 40.8213651
rutherford police|-74.1090222 40.8257509
rutherford borough hall|-74.1083464 40.8261023
lincoln park|-74.1080706 40.8255602
first presbyterian church|-74.1060133 40.8263143
rutherford free public library|-74.1065505 40.8266898
rutherford post office|-74.107792 40.8262764
rutherford high school|-74.1081384 40.8289485
tamblyn field civic center|-74.1161115 40.8215301
rutherford fire department|-74.1142028 40.8239839
firemens memorial park|-74.1139315 40.8237382
living gospel baptist church|-74.1084423 40.8266185
williams center for the arts|-74.102882 40.8271003
diamond|-74.1187943 40.8426252
diamond|-74.1181018 40.8431097
diamond|-74.1198089 40.8437313
diamond|-74.1206133 40.8441399
diamond|-74.1202253 40.8450921
diamond|-74.1202813 40.8458447
rutherford little league|-74.1179208 40.8441375
kidspot|-74.1174224 40.8438142
diamond|-74.1167673 40.8435971
diamond|-74.1159319 40.8430798
katies corner|-74.1155132 40.8429684
tryon field|-74.1199356 40.8424329
wells fargo|-74.1030894 40.8274412
sylvan elementary school|-74.1056 40.8239848
boiling springs savings bank|-74.1011949 40.8267433
berkeley college|-74.190062 40.8990137
memorial middle school|-74.2088211 40.8913453
westwood regional middle school|-74.0373155 40.9853258
washington elementary school|-74.0652259 40.992121
brookside elementary school|-74.0444651 40.9829429
berkeley avenue elementary school|-74.0246031 40.9920799
residence inn saddle river|-74.1139735 41.0365265
adp|-74.310151 40.8155691
parking b|-74.2386015 41.1222126
parking c|-74.2386824 41.119086
skylands manor|-74.2381757 41.1251395
summer garden|-74.2383241 41.123551
carriage house|-74.2368581 41.125812
annual garden|-74.2368053 41.1252551
parking a|-74.2381232 41.1272074
pump house|-74.2371829 41.1265772
hosta  rhododendron gardens|-74.2355613 41.1243255
lodge|-74.2363256 41.1270896
volunteer greenhouse|-74.2372139 41.1272365
perennial border|-74.236822 41.1247057
azaela garden|-74.2383236 41.1238158
magnolia walk|-74.2383149 41.1243614
octagonal garden|-74.238298 41.1248947
tree peony garden|-74.2383318 41.1232394
lilac garden|-74.2379392 41.1230112
memory bench|-74.2383347 41.1230712
greenhouse  nursery|-74.2382 41.1206861
pinetum|-74.2390445 41.123922
winter garden|-74.2378717 41.1261956
wildflower garden|-74.2348337 41.123298
moraine garden|-74.2345252 41.1243618
st lukes chapel|-74.2327803 41.135496
boat house|-74.231289 41.1353731
hilton meadowlands|-74.0785316 40.805118
extended stay america|-74.0757955 40.8053783
allendale technical center|-74.1186115 41.0412769
building|-74.1143745 41.0367327
